Subject,FORT10
Task,SetShiftPR
Chamber,3
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p45on.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShift3On.py

Trial,Time,Type,Code,State,Metadata
1,3.5800039768218994e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.0061424002051353,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
3,1.006148399785161,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 7692, 'duration': 4294967295, 'stages': [['0', '0uA', '0uA'], ['0', '0uA', '0uA']]}"
4,2.0141174998134375,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
5,2.014131600037217,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-144mV', '0uA', '0mV', '0uA'], ['-100mV', '0uA', '0mV', '0uA']]}"
6,3.020100799854845,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
7,3.020111700054258,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-146mV', '0uA', '0mV', '0uA'], ['-98mV', '0uA', '0mV', '0uA']]}"
8,4.023461599834263,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
9,4.023471400141716,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-144mV', '0uA', '0mV', '0uA'], ['-100mV', '0uA', '0mV', '0uA']]}"
10,4.930693699978292,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
11,4.992227300070226,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
12,5.036694400012493,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
13,5.036721699871123,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-144mV', '0uA', '0mV', '0uA'], ['-98mV', '0uA', '0mV', '0uA']]}"
14,5.259193100035191,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
15,5.2592008002102375,StateExitEvent,0,INITIATION,"{'light_location': 1}"
16,5.2592197000049055,StateEnterEvent,1,RESPONSE,"{'light_location': 1}"
17,5.390916000120342,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': False}"
18,5.753661000169814,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': True}"
19,5.753669099882245,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
20,5.753711299970746,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
21,5.78176200017333,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': False}"
22,5.788771099876612,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': True}"
23,5.8630865002051,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': False}"
24,6.044299799948931,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
25,6.044312600046396,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-146mV', '0uA', '0mV', '0uA'], ['-98mV', '0uA', '0mV', '0uA']]}"
26,7.052279400173575,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
27,7.052292000036687,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-146mV', '0uA', '0mV', '0uA'], ['-100mV', '0uA', '0mV', '0uA']]}"
28,8.05912629980594,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
29,8.059135099872947,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-144mV', '0uA', '0mV', '0uA'], ['-98mV', '0uA', '0mV', '0uA']]}"
30,9.064132399857044,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
31,9.064138799905777,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-144mV', '0uA', '0mV', '0uA'], ['-98mV', '0uA', '0mV', '0uA']]}"
32,10.075157399754971,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
33,10.075166900176555,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-146mV', '0uA', '0mV', '0uA'], ['-100mV', '0uA', '0mV', '0uA']]}"
34,11.082141499966383,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
35,11.082150899805129,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-144mV', '0uA', '0mV', '0uA'], ['-98mV', '0uA', '0mV', '0uA']]}"
36,12.09009339986369,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
37,12.090101100038737,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-144mV', '0uA', '0mV', '0uA'], ['-100mV', '0uA', '0mV', '0uA']]}"
38,12.761817099992186,TimeoutEvent,0,iti_timeout,"{}"
39,12.762099999934435,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
40,12.762215999886394,StateEnterEvent,0,INITIATION,"{}"
41,13.093888800125569,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
42,13.093899600207806,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-146mV', '0uA', '0mV', '0uA'], ['-100mV', '0uA', '0mV', '0uA']]}"
43,14.105184699874371,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
44,14.105195700190961,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-144mV', '0uA', '0mV', '0uA'], ['-100mV', '0uA', '0mV', '0uA']]}"
45,15.113390400074422,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
46,15.113405900076032,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-144mV', '0uA', '0mV', '0uA'], ['-100mV', '0uA', '0mV', '0uA']]}"
47,16.12128210021183,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
48,16.121294499840587,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-144mV', '0uA', '0mV', '0uA'], ['-100mV', '0uA', '0mV', '0uA']]}"
49,17.12812400003895,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
