Subject,MORT09
Task,SetShiftPR
Chamber,1
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p48off.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShiftOn.py

Trial,Time,Type,Code,State,Metadata
1,1.750001683831215e-05,StateEnterEvent,0,INITIATION,"{}"
2,6.029370900243521,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
3,6.029377399943769,StateExitEvent,0,INITIATION,"{'light_location': 0}"
4,6.029397500213236,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
5,6.499680200126022,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
6,6.7835538000799716,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
7,6.783558399882168,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
8,6.783573499880731,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
9,6.794884100090712,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
10,6.797378899995238,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
11,7.20094639994204,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
12,12.484506000299007,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
13,12.852291699964553,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
14,13.12914129998535,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
15,13.796816700138152,TimeoutEvent,0,iti_timeout,"{}"
16,13.796946899965405,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
17,13.797008799854666,StateEnterEvent,0,INITIATION,"{}"
18,13.864889900200069,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
19,13.864897700026631,StateExitEvent,0,INITIATION,"{'light_location': 1}"
20,13.864923099987209,StateEnterEvent,1,RESPONSE,"{'light_location': 1}"
21,13.900121500249952,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
22,14.057384800165892,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
23,14.276415499858558,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
24,14.276421300135553,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 1, 'rule_index': 0, 'accuracy': 'correct'}"
25,14.276446899864823,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 1, 'rule_index': 0, 'accuracy': 'correct'}"
26,14.605748999863863,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
27,19.432297999970615,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
28,19.59615459991619,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
29,19.927919500041753,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
30,20.25301480013877,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
31,20.52055469993502,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
32,20.875611700117588,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
33,20.90108110010624,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
34,20.924169099889696,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
35,20.92777210008353,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
36,21.282559600193053,TimeoutEvent,0,iti_timeout,"{}"
37,21.282629100140184,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
38,21.282652699854225,StateEnterEvent,0,INITIATION,"{}"
39,21.305589199997485,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
40,21.305599700193852,StateExitEvent,0,INITIATION,"{'light_location': 0}"
41,21.305617299862206,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
42,21.849686100147665,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
43,21.96012860024348,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
44,22.17354810005054,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
45,22.17355230031535,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 2, 'rule_index': 0, 'accuracy': 'correct'}"
46,22.173566800076514,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 2, 'rule_index': 0, 'accuracy': 'correct'}"
47,22.48668670002371,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
48,26.80070300027728,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
49,26.96908579999581,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
50,27.09318850003183,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
51,27.330328300129622,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
52,27.504592699930072,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
53,27.74815690005198,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
54,28.052201100159436,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
55,28.77754219993949,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
56,28.845430000219494,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
57,28.856522200163454,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
58,29.176451300270855,TimeoutEvent,0,iti_timeout,"{}"
59,29.176501600071788,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
60,29.17651790007949,StateEnterEvent,0,INITIATION,"{}"
61,29.349377099890262,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
62,29.597658600192517,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
63,29.866583700291812,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
64,29.86659110011533,StateExitEvent,0,INITIATION,"{'light_location': 0}"
65,29.866610600147396,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
66,30.168190500233322,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
67,30.4174975999631,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
68,30.41750740027055,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 3, 'rule_index': 0, 'accuracy': 'correct'}"
69,30.417544099967927,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 3, 'rule_index': 0, 'accuracy': 'correct'}"
70,30.959911699872464,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
71,35.41967540001497,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
72,35.66520050028339,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
73,35.86038429988548,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
74,36.925933700054884,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
75,36.93207299988717,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
76,37.02337360009551,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
77,37.02914300002158,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
78,37.111455200240016,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
79,37.33859009994194,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
80,37.43775610020384,TimeoutEvent,0,iti_timeout,"{}"
81,37.43785399990156,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
82,37.43789210030809,StateEnterEvent,0,INITIATION,"{}"
83,37.56842530006543,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
84,38.01462720008567,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
85,38.01463450025767,StateExitEvent,0,INITIATION,"{'light_location': 1}"
86,38.01465329993516,StateEnterEvent,1,RESPONSE,"{'light_location': 1}"
87,38.170944599900395,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
88,38.40402020001784,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
89,38.40402449993417,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 4, 'rule_index': 0, 'accuracy': 'correct'}"
90,38.40404079994187,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 4, 'rule_index': 0, 'accuracy': 'correct'}"
91,38.679468700196594,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
92,43.25945320026949,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
93,43.44557820027694,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
94,45.406071700155735,TimeoutEvent,0,iti_timeout,"{}"
95,45.40643860027194,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
96,45.406588800251484,StateEnterEvent,0,INITIATION,"{}"
97,45.48104360001162,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
98,45.48106290027499,StateExitEvent,0,INITIATION,"{'light_location': 1}"
99,45.48111859988421,StateEnterEvent,1,RESPONSE,"{'light_location': 1}"
100,46.07112170010805,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
101,46.341593800112605,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
102,46.341609300114214,StateExitEvent,1,RESPONSE,"{'rule': 1, 'cur_block': 0, 'rule_index': 1, 'accuracy': 'incorrect'}"
103,46.34169270005077,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 1, 'cur_block': 0, 'rule_index': 1, 'accuracy': 'incorrect'}"
104,46.987160500139,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
105,48.75256880000234,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
106,49.31197530031204,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
107,49.74092620005831,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
108,49.97389890020713,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
109,53.34970710007474,TimeoutEvent,0,iti_timeout,"{}"
110,53.34984500007704,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
111,53.349892700091004,StateEnterEvent,0,INITIATION,"{}"
112,54.65141810011119,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
113,54.6514254999347,StateExitEvent,0,INITIATION,"{'light_location': 1}"
114,54.65144379995763,StateEnterEvent,1,RESPONSE,"{'light_location': 1}"
115,55.198154100216925,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
116,55.40666129998863,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
117,55.40666860016063,StateExitEvent,1,RESPONSE,"{'rule': 1, 'cur_block': 0, 'rule_index': 1, 'accuracy': 'correct'}"
118,55.40669699991122,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 1, 'cur_block': 0, 'rule_index': 1, 'accuracy': 'correct'}"
119,55.690600300207734,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
120,59.65191109990701,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
121,60.1149897002615,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
122,60.174047000240535,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
123,60.60189459985122,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
124,60.85573050007224,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
125,61.16963470028713,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
126,62.41532640019432,TimeoutEvent,0,iti_timeout,"{}"
127,62.41537040006369,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
128,62.41538270004094,StateEnterEvent,0,INITIATION,"{}"
129,66.74111449997872,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
