Subject,FORT13
Task,SetShiftPR
Chamber,2
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p47on2.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShift2On.py

Trial,Time,Type,Code,State,Metadata
1,2.510007470846176e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.005911000072956,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
3,1.0059198001399636,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 1, 'mode': [3, 1], 'period': 7692, 'duration': 4294967295, 'stages': [['0', '0uA', '0uA'], ['0', '0uA', '0uA']]}"
4,2.0131067000329494,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
5,2.013112199958414,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-140mV', '0uA'], ['0mV', '0uA', '-136mV', '0uA']]}"
6,3.017419300042093,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
7,3.017425799742341,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-136mV', '0uA']]}"
8,4.028782099951059,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
9,4.028794799931347,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-136mV', '0uA']]}"
10,5.03738240012899,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
11,5.037404499948025,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-136mV', '0uA']]}"
12,6.04374870005995,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
13,6.0437568998895586,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-134mV', '0uA']]}"
14,7.05200619995594,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
15,7.052019900176674,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-134mV', '0uA']]}"
16,8.058505800087005,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
17,8.058520900085568,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-136mV', '0uA']]}"
18,9.066804999951273,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
19,9.066813100129366,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-134mV', '0uA']]}"
20,10.074783999938518,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
21,10.07479179976508,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-134mV', '0uA']]}"
22,11.080789899919182,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
23,11.080798999872059,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-136mV', '0uA']]}"
24,12.08976130001247,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
25,12.089769599959254,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-140mV', '0uA'], ['0mV', '0uA', '-136mV', '0uA']]}"
26,13.095986499916762,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
27,13.09599220007658,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-140mV', '0uA'], ['0mV', '0uA', '-134mV', '0uA']]}"
28,14.105764399748296,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
29,14.105772499926388,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-136mV', '0uA']]}"
30,15.112750799860805,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
31,15.112759199924767,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-136mV', '0uA']]}"
32,16.120941599830985,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
33,16.12095439992845,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-136mV', '0uA']]}"
34,17.12880939990282,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
35,17.128821100108325,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-136mV', '0uA']]}"
36,18.135084299836308,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
37,18.135100999847054,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-140mV', '0uA'], ['0mV', '0uA', '-134mV', '0uA']]}"
38,19.143782500177622,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
39,19.1437909998931,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-136mV', '0uA']]}"
40,20.151799299754202,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
41,20.151809600181878,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-138mV', '0uA'], ['0mV', '0uA', '-134mV', '0uA']]}"
42,21.158726300112903,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
43,21.158734200056642,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-140mV', '0uA'], ['0mV', '0uA', '-134mV', '0uA']]}"
44,22.16683219978586,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
