Subject,MORT10
Task,SetShiftPR
Chamber,1
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p47on.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShiftOn.py

Trial,Time,Type,Code,State,Metadata
1,1.7999671399593353e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.0060682999901474,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
3,1.0060763000510633,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 7692, 'duration': 4294967295, 'stages': [['0', '0uA', '0uA'], ['0', '0uA', '0uA']]}"
4,1.7200382999144495,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
5,1.7200432000681758,StateExitEvent,0,INITIATION,"{'light_location': 0}"
6,1.72005599969998,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
7,1.9690568000078201,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
8,2.01303040003404,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
9,2.0130381998606026,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-180mV', '0uA', '0mV', '0uA'], ['-188mV', '0uA', '0mV', '0uA']]}"
10,2.2675946997478604,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
11,2.2676021000370383,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
12,2.267641599755734,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
13,2.4334888998419046,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
14,2.738042699638754,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
15,2.9314381000585854,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
16,3.0211402997374535,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
17,3.0211479999125004,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-178mV', '0uA', '0mV', '0uA'], ['-188mV', '0uA', '0mV', '0uA']]}"
18,3.231201899703592,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
19,3.408993599936366,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
20,4.029080499894917,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
21,4.029088299721479,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-180mV', '0uA', '0mV', '0uA'], ['-188mV', '0uA', '0mV', '0uA']]}"
22,5.036056499928236,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
23,5.036064599640667,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-180mV', '0uA', '0mV', '0uA'], ['-188mV', '0uA', '0mV', '0uA']]}"
24,6.0441835997626185,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
25,6.04419199982658,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-180mV', '0uA', '0mV', '0uA'], ['-188mV', '0uA', '0mV', '0uA']]}"
26,7.051979899872094,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
27,7.05198509991169,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-180mV', '0uA', '0mV', '0uA'], ['-188mV', '0uA', '0mV', '0uA']]}"
