Subject,FORT13
Task,SetShiftPR
Chamber,2
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p48on2_all.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShift2On.py

Trial,Time,Type,Code,State,Metadata
1,2.5700312107801437e-05,StateEnterEvent,0,INITIATION,"{}"
2,0.3095873002894223,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
3,0.3095954000018537,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 1, 'mode': [3, 1], 'period': 7692, 'duration': 4294967295, 'stages': [['50', '0uA', '-300uA'], ['50', '0uA', '300uA']]}"
4,1.2536316001787782,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': True}"
5,1.25363659998402,StateExitEvent,0,INITIATION,"{'light_location': 0}"
6,1.253649900201708,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
7,1.3163594999350607,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
8,1.3163653002120554,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9272mV', '-292uA'], ['0mV', '0uA', '7124mV', '292uA']]}"
9,1.4475712003186345,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': False}"
10,1.7659869999624789,ComponentChangedEvent,1,nose_pokes-1-0,"{'value': True}"
11,1.7659942000173032,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
12,1.766023499891162,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
13,2.1469589001499116,ComponentChangedEvent,1,nose_pokes-1-0,"{'value': False}"
14,2.3245566999539733,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
15,2.3245663000270724,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9276mV', '-292uA'], ['0mV', '0uA', '7188mV', '292uA']]}"
16,3.3324887002818286,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
17,3.332496900111437,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9312mV', '-292uA'], ['0mV', '0uA', '7232mV', '292uA']]}"
18,4.340704000089318,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
19,4.340743500273675,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9362mV', '-292uA'], ['0mV', '0uA', '7272mV', '292uA']]}"
20,5.347666000016034,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
21,5.347680100239813,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9414mV', '-292uA'], ['0mV', '0uA', '7318mV', '292uA']]}"
22,6.355483800172806,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
23,6.355492100119591,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9456mV', '-292uA'], ['0mV', '0uA', '7356mV', '292uA']]}"
24,7.362491900101304,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
25,7.362499400041997,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9498mV', '-292uA'], ['0mV', '0uA', '7390mV', '292uA']]}"
26,8.370524500031024,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
27,8.370531999971718,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9530mV', '-292uA'], ['0mV', '0uA', '7414mV', '292uA']]}"
28,8.779532100073993,TimeoutEvent,0,iti_timeout,"{}"
29,8.779581299982965,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
30,8.779597000218928,StateEnterEvent,0,INITIATION,"{}"
31,9.378503600135446,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
32,9.378512000199407,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9566mV', '-292uA'], ['0mV', '0uA', '7442mV', '292uA']]}"
33,10.385476800147444,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
34,10.385485100094229,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9598mV', '-292uA'], ['0mV', '0uA', '7470mV', '292uA']]}"
35,11.393492199946195,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
36,11.39350049989298,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9632mV', '-292uA'], ['0mV', '0uA', '7496mV', '292uA']]}"
37,12.400593699887395,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
38,12.400605200324208,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9666mV', '-292uA'], ['0mV', '0uA', '7522mV', '292uA']]}"
39,13.408469500020146,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
40,13.408476900309324,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9694mV', '-292uA'], ['0mV', '0uA', '7548mV', '292uA']]}"
41,14.41638489998877,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
42,14.416397100314498,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9726mV', '-292uA'], ['0mV', '0uA', '7574mV', '292uA']]}"
43,14.970197699964046,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': True}"
44,14.970202900003642,StateExitEvent,0,INITIATION,"{'light_location': 1}"
45,14.970216799993068,StateEnterEvent,1,RESPONSE,"{'light_location': 1}"
46,15.315584300085902,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': False}"
47,15.423973300028592,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
48,15.423993499949574,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9754mV', '-292uA'], ['0mV', '0uA', '7598mV', '292uA']]}"
49,15.592359700240195,ComponentChangedEvent,3,nose_pokes-1-2,"{'value': True}"
50,15.592363700270653,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 1, 'rule_index': 0, 'accuracy': 'correct'}"
51,15.59238009992987,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 1, 'rule_index': 0, 'accuracy': 'correct'}"
52,16.10657660011202,ComponentChangedEvent,3,nose_pokes-1-2,"{'value': False}"
53,16.431434200145304,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
54,16.43143970007077,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9782mV', '-292uA'], ['0mV', '0uA', '7626mV', '292uA']]}"
55,16.490369299892336,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': True}"
56,16.706494000274688,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': False}"
57,17.439476300030947,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
58,17.439483900088817,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9812mV', '-292uA'], ['0mV', '0uA', '7648mV', '292uA']]}"
59,18.446481900289655,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
60,18.446489400230348,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9846mV', '-292uA'], ['0mV', '0uA', '7678mV', '292uA']]}"
61,19.454458700027317,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
62,19.454466700088233,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9882mV', '-292uA'], ['0mV', '0uA', '7708mV', '292uA']]}"
63,20.462646699976176,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
64,20.462659100070596,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9910mV', '-292uA'], ['0mV', '0uA', '7736mV', '292uA']]}"
65,21.469479500316083,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
66,21.46948720002547,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9940mV', '-292uA'], ['0mV', '0uA', '7764mV', '292uA']]}"
67,22.477475400082767,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
68,22.477483300026506,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9964mV', '-292uA'], ['0mV', '0uA', '7784mV', '292uA']]}"
69,22.604240200016648,TimeoutEvent,0,iti_timeout,"{}"
