Subject,MORT10
Task,SetShiftPR
Chamber,1
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p48on_all.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShiftOn.py

Trial,Time,Type,Code,State,Metadata
1,2.4300068616867065e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.006483900360763,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
3,1.0064929001964629,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 7692, 'duration': 4294967295, 'stages': [['50', '-300uA', '0uA'], ['50', '300uA', '0uA']]}"
4,2.0134258000180125,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
5,2.0134344999678433,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8852mV', '-292uA', '0mV', '0uA'], ['7178mV', '292uA', '0mV', '0uA']]}"
6,3.0214951001107693,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
7,3.0215027001686394,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-9344mV', '-292uA', '0mV', '0uA'], ['7634mV', '292uA', '0mV', '0uA']]}"
8,3.582100600004196,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
9,3.6996693001128733,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
10,3.885509700048715,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
11,3.885517599992454,StateExitEvent,0,INITIATION,"{'light_location': 0}"
12,3.885538199916482,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
13,3.89678469998762,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
14,3.9990007001906633,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
15,4.010182900354266,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
16,4.018799900077283,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
17,4.029354200232774,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
18,4.0293602999299765,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-9538mV', '-292uA', '0mV', '0uA'], ['7782mV', '292uA', '0mV', '0uA']]}"
19,4.078707700129598,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
20,4.087749300058931,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
21,4.09900279995054,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
22,4.112653000280261,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
23,4.124000099953264,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
24,4.1432981002144516,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
25,4.1546174003742635,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
26,4.532248199917376,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
27,4.532277800142765,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
28,4.532294299919158,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
