Subject,FORT14
Task,SetShiftPR
Chamber,3
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p46on_all.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShift3On.py

Trial,Time,Type,Code,State,Metadata
1,1.8299557268619537e-05,StateEnterEvent,0,INITIATION,"{}"
2,0.41863409988582134,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
3,0.41863910015672445,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 7692, 'duration': 4294967295, 'stages': [['50', '-300uA', '0uA'], ['50', '300uA', '0uA']]}"
4,1.4262648997828364,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
5,1.4262768002226949,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10000mV', '-292uA', '0mV', '0uA'], ['7620mV', '292uA', '0mV', '0uA']]}"
6,2.435006500221789,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
7,2.435024299658835,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-9994mV', '-292uA', '0mV', '0uA'], ['7698mV', '290uA', '0mV', '0uA']]}"
8,3.441428099758923,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
9,3.441433100029826,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10030mV', '-292uA', '0mV', '0uA'], ['7744mV', '290uA', '0mV', '0uA']]}"
10,4.448948900215328,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
11,4.448956499807537,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10056mV', '-292uA', '0mV', '0uA'], ['7808mV', '290uA', '0mV', '0uA']]}"
12,5.073307099752128,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
13,5.2607003999874,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
14,5.4567847000434995,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
15,5.456791100092232,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10058mV', '-292uA', '0mV', '0uA'], ['7862mV', '290uA', '0mV', '0uA']]}"
16,6.008084999397397,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
17,6.459077499806881,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
18,6.464418799616396,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
19,6.464425900019705,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10058mV', '-292uA', '0mV', '0uA'], ['7912mV', '290uA', '0mV', '0uA']]}"
20,7.057382099330425,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
21,7.369566299952567,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
22,7.471430699340999,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
23,7.471436799503863,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10058mV', '-292uA', '0mV', '0uA'], ['7950mV', '290uA', '0mV', '0uA']]}"
24,7.6565792998299,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
25,7.656584599986672,StateExitEvent,0,INITIATION,"{'light_location': 1}"
