Subject,FORT12
Task,SetShiftPR
Chamber,3
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p45off.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShift3On.py

Trial,Time,Type,Code,State,Metadata
1,2.759997732937336e-05,StateEnterEvent,0,INITIATION,"{}"
2,7.468287000025157,ComponentChangedEvent,0,stim-2-0,"{'value': None}"
3,15.276455999992322,ComponentChangedEvent,0,stim-2-0,"{'value': None}"
4,33.41684169997461,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
5,33.41685249999864,StateExitEvent,0,INITIATION,"{'light_location': 1}"
6,33.41688510001404,StateEnterEvent,1,RESPONSE,"{'light_location': 1}"
7,33.4824554999941,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': False}"
8,34.23526500002481,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
9,34.23527409997769,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
10,34.235312399978284,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
11,34.516509099979885,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
12,41.239674300013576,TimeoutEvent,0,iti_timeout,"{}"
13,41.23976909997873,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
14,41.239804000011645,StateEnterEvent,0,INITIATION,"{}"
15,46.10253510001348,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
16,46.10256859997753,StateExitEvent,0,INITIATION,"{'light_location': 0}"
17,46.102682399970945,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
18,46.1621011000243,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': False}"
19,47.02287420001812,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': True}"
20,47.02287869999418,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 1, 'rule_index': 0, 'accuracy': 'correct'}"
21,47.022896000009496,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 1, 'rule_index': 0, 'accuracy': 'correct'}"
