Subject,MORT16
Task,SetShiftPR
Chamber,1
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p44off.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShiftOn.py

Trial,Time,Type,Code,State,Metadata
1,2.4800188839435577e-05,StateEnterEvent,0,INITIATION,"{}"
2,7.281223299913108,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
3,7.328577499836683,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
4,7.710611900314689,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
5,7.710617099888623,StateExitEvent,0,INITIATION,"{'light_location': 0}"
6,7.710630100220442,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
7,7.826276700012386,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
8,8.078530000522733,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
9,8.078534999862313,StateExitEvent,1,RESPONSE,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
10,8.078562100417912,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
11,8.120407400652766,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
12,8.16617100033909,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
13,8.207624400034547,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
14,15.100841199979186,TimeoutEvent,0,iti_timeout,"{}"
15,15.100887500680983,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
16,15.100901300087571,StateEnterEvent,0,INITIATION,"{}"
17,21.997669599950314,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
18,21.997674600221217,StateExitEvent,0,INITIATION,"{'light_location': 0}"
19,21.997687499970198,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
20,22.12458120007068,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
21,22.422805700451136,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
22,22.422810500487685,StateExitEvent,1,RESPONSE,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
23,22.42283709999174,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
24,22.590607500635087,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
25,23.495045400224626,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
26,23.629082900471985,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
27,29.442417100071907,TimeoutEvent,0,iti_timeout,"{}"
28,29.442453300580382,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
29,29.442462700419128,StateEnterEvent,0,INITIATION,"{}"
30,53.587734600529075,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
31,53.65015310049057,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
32,54.04018389992416,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
33,54.040189100429416,StateExitEvent,0,INITIATION,"{'light_location': 0}"
34,54.04020190052688,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
35,54.081576799973845,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
