Subject,FORT16
Task,SetShiftPR
Chamber,3
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p44off.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShift3On.py

Trial,Time,Type,Code,State,Metadata
1,2.400018274784088e-05,StateEnterEvent,0,INITIATION,"{}"
2,12.09222299978137,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
3,12.092230300419033,StateExitEvent,0,INITIATION,"{'light_location': 0}"
4,12.09224999975413,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
5,12.231020700186491,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': False}"
6,12.571400299668312,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
7,12.72556889988482,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': False}"
8,13.499229799956083,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': True}"
9,13.499236799776554,StateExitEvent,1,RESPONSE,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
10,13.499278400093317,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
11,13.804698600433767,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': False}"
12,14.204804399982095,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': True}"
13,14.4105778997764,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': False}"
14,15.644118700176477,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
15,15.655485100112855,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
16,15.679984799586236,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
17,15.907246000133455,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
18,20.512449899688363,TimeoutEvent,0,iti_timeout,"{}"
19,20.51248690020293,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
20,20.512496599927545,StateEnterEvent,0,INITIATION,"{}"
21,26.87698580045253,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
22,26.876992699690163,StateExitEvent,0,INITIATION,"{'light_location': 0}"
23,26.877012900076807,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
24,27.07983999978751,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': False}"
25,27.545462500303984,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
26,27.54546879976988,StateExitEvent,1,RESPONSE,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
27,27.54549330007285,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
28,27.980588999576867,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
29,27.98266030009836,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
30,27.994205799885094,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
31,34.549070900306106,TimeoutEvent,0,iti_timeout,"{}"
32,34.54911969974637,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
33,34.54913459997624,StateEnterEvent,0,INITIATION,"{}"
34,35.34154890011996,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
35,35.34155400004238,StateExitEvent,0,INITIATION,"{'light_location': 1}"
36,35.34156730026007,StateEnterEvent,1,RESPONSE,"{'light_location': 1}"
37,35.352958500385284,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': False}"
38,35.36445949971676,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
39,35.65166459977627,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': False}"
40,36.00994549971074,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
