Subject,FORT15
Task,SetShiftPR
Chamber,2
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p45on2_all.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShift2On.py

Trial,Time,Type,Code,State,Metadata
1,1.8899329006671906e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.00555370002985,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
3,1.005561999976635,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 1, 'mode': [3, 1], 'period': 7692, 'duration': 4294967295, 'stages': [['50', '0uA', '-300uA'], ['50', '0uA', '300uA']]}"
4,2.013861599378288,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
5,2.0138775995001197,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8548mV', '-292uA'], ['0mV', '0uA', '6488mV', '292uA']]}"
6,2.049386099912226,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': True}"
7,2.049393800087273,StateExitEvent,0,INITIATION,"{'light_location': 1}"
8,2.049414299428463,StateEnterEvent,1,RESPONSE,"{'light_location': 1}"
9,2.141322299838066,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': False}"
10,2.926105000078678,ComponentChangedEvent,3,nose_pokes-1-2,"{'value': True}"
11,2.92611170001328,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
12,2.9261376997455955,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
13,3.0217418000102043,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
14,3.02175369951874,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8658mV', '-292uA'], ['0mV', '0uA', '6628mV', '292uA']]}"
15,3.0703476993367076,ComponentChangedEvent,3,nose_pokes-1-2,"{'value': False}"
16,4.028523599728942,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
17,4.0285326996818185,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8766mV', '-292uA'], ['0mV', '0uA', '6724mV', '292uA']]}"
18,5.036413899622858,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
19,5.0364212999120355,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8858mV', '-292uA'], ['0mV', '0uA', '6800mV', '292uA']]}"
20,6.044473299756646,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
21,6.044479600153863,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8934mV', '-292uA'], ['0mV', '0uA', '6872mV', '292uA']]}"
22,7.051860800012946,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
23,7.051878999918699,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9000mV', '-292uA'], ['0mV', '0uA', '6930mV', '292uA']]}"
24,8.059561599977314,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
25,8.059570299461484,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9056mV', '-292uA'], ['0mV', '0uA', '6986mV', '292uA']]}"
26,9.065211899578571,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
27,9.065218700096011,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9118mV', '-292uA'], ['0mV', '0uA', '7044mV', '292uA']]}"
28,9.928874399513006,TimeoutEvent,0,iti_timeout,"{}"
29,9.92890980001539,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
30,9.928919499740005,StateEnterEvent,0,INITIATION,"{}"
31,10.070235399529338,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
32,10.070241499692202,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9178mV', '-292uA'], ['0mV', '0uA', '7102mV', '292uA']]}"
33,11.081721699796617,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
34,11.081728399731219,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9224mV', '-292uA'], ['0mV', '0uA', '7138mV', '292uA']]}"
35,11.852524800226092,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': True}"
36,11.85253470018506,StateExitEvent,0,INITIATION,"{'light_location': 0}"
37,11.852560799568892,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
38,12.01559459976852,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': False}"
39,12.090570899657905,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
40,12.09057809971273,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9278mV', '-292uA'], ['0mV', '0uA', '7188mV', '292uA']]}"
41,12.569552599452436,ComponentChangedEvent,3,nose_pokes-1-2,"{'value': True}"
42,12.569557699374855,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 1, 'rule_index': 0, 'accuracy': 'incorrect'}"
43,12.569584500044584,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 1, 'rule_index': 0, 'accuracy': 'incorrect'}"
44,12.876231700181961,ComponentChangedEvent,3,nose_pokes-1-2,"{'value': False}"
45,13.09752650000155,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
46,13.097534799948335,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9322mV', '-292uA'], ['0mV', '0uA', '7224mV', '292uA']]}"
47,14.10555600002408,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
48,14.10556439962238,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9364mV', '-292uA'], ['0mV', '0uA', '7260mV', '292uA']]}"
49,15.113639499992132,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
50,15.113649900071323,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9404mV', '-292uA'], ['0mV', '0uA', '7294mV', '292uA']]}"
51,16.120983899571,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
52,16.121000999584794,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9440mV', '-292uA'], ['0mV', '0uA', '7326mV', '292uA']]}"
53,17.128508899360895,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
54,17.128517299890518,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9472mV', '-292uA'], ['0mV', '0uA', '7352mV', '292uA']]}"
55,18.13548559974879,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
56,18.135495299473405,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-9504mV', '-292uA'], ['0mV', '0uA', '7378mV', '292uA']]}"
57,19.143529400229454,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
