Subject,FORT18
Task,SetShiftPR
Chamber,3
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p47on_all.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShift3On.py
SubjectConfiguration
amps,"[[-224, 224], [0, 0]]"

Trial,Time,Type,Code,State,Metadata
1,1.9599683582782745e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.006250400096178,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
3,1.0062562003731728,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 7692, 'duration': 4294967295, 'stages': [['50', '-224uA', '0uA'], ['50', '224uA', '0uA']]}"
4,2.009467300027609,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
5,2.009473900310695,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6050mV', '-218uA', '0mV', '0uA'], ['4272mV', '218uA', '0mV', '0uA']]}"
6,3.02118800021708,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
7,3.021194700151682,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6116mV', '-218uA', '0mV', '0uA'], ['4346mV', '218uA', '0mV', '0uA']]}"
8,4.029254499822855,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
9,4.029261800460517,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6190mV', '-218uA', '0mV', '0uA'], ['4418mV', '218uA', '0mV', '0uA']]}"
10,4.339268700219691,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
11,4.339275700040162,StateExitEvent,0,INITIATION,"{'light_location': 0}"
12,4.33929490018636,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
13,4.482480799779296,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': False}"
14,5.036242200061679,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
15,5.036249999888241,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6252mV', '-218uA', '0mV', '0uA'], ['4476mV', '218uA', '0mV', '0uA']]}"
16,6.038865400478244,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
17,6.038871800526977,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6298mV', '-218uA', '0mV', '0uA'], ['4516mV', '218uA', '0mV', '0uA']]}"
18,6.146442499943078,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': True}"
19,6.146446299739182,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
20,6.1464609997347,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
21,6.158106700517237,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': False}"
22,6.181599199771881,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': True}"
23,6.19325099978596,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': False}"
24,7.049367199651897,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
25,7.04937359970063,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6346mV', '-218uA', '0mV', '0uA'], ['4560mV', '218uA', '0mV', '0uA']]}"
26,8.059286899864674,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
27,8.059294500388205,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6382mV', '-218uA', '0mV', '0uA'], ['4588mV', '218uA', '0mV', '0uA']]}"
28,9.067625800147653,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
29,9.067646000534296,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6416mV', '-218uA', '0mV', '0uA'], ['4618mV', '218uA', '0mV', '0uA']]}"
30,10.075246900320053,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
31,10.075254299677908,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6448mV', '-218uA', '0mV', '0uA'], ['4644mV', '218uA', '0mV', '0uA']]}"
32,11.079500200226903,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
33,11.079508299939334,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6468mV', '-218uA', '0mV', '0uA'], ['4664mV', '218uA', '0mV', '0uA']]}"
34,12.090245000086725,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
35,12.090252799913287,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6480mV', '-218uA', '0mV', '0uA'], ['4666mV', '218uA', '0mV', '0uA']]}"
36,13.093926399946213,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
37,13.093933500349522,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6454mV', '-218uA', '0mV', '0uA'], ['4554mV', '218uA', '0mV', '0uA']]}"
38,13.154613999649882,TimeoutEvent,0,iti_timeout,"{}"
