Subject,FORT18
Task,SetShiftPR
Chamber,3
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p44on_all.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShift3On.py

Trial,Time,Type,Code,State,Metadata
1,3.3400021493434906e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.0058091999962926,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
3,1.005816999822855,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 7692, 'duration': 4294967295, 'stages': [['50', '-300uA', '0uA'], ['50', '300uA', '0uA']]}"
4,2.013670099899173,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
5,2.013676299713552,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10058mV', '-28uA', '0mV', '0uA'], ['10078mV', '14uA', '0mV', '0uA']]}"
6,3.0218402994796634,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
7,3.021848199889064,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8946mV', '-130uA', '0mV', '0uA'], ['8250mV', '122uA', '0mV', '0uA']]}"
8,4.028830899856985,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
9,4.028839400038123,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7288mV', '-292uA', '0mV', '0uA'], ['5518mV', '292uA', '0mV', '0uA']]}"
10,5.036786299198866,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
11,5.036794699728489,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7406mV', '-292uA', '0mV', '0uA'], ['5640mV', '292uA', '0mV', '0uA']]}"
12,6.041977599263191,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
13,6.041983399540186,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7584mV', '-288uA', '0mV', '0uA'], ['5862mV', '288uA', '0mV', '0uA']]}"
14,7.049544099718332,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
15,7.049549899995327,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8170mV', '-224uA', '0mV', '0uA'], ['6824mV', '220uA', '0mV', '0uA']]}"
16,8.059754999354482,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
17,8.059763199649751,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10058mV', '-30uA', '0mV', '0uA'], ['10078mV', '24uA', '0mV', '0uA']]}"
18,9.06800779979676,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
19,9.068021399900317,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10058mV', '-30uA', '0mV', '0uA'], ['10078mV', '22uA', '0mV', '0uA']]}"
20,10.074864199385047,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
21,10.07487199921161,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10058mV', '-28uA', '0mV', '0uA'], ['10078mV', '24uA', '0mV', '0uA']]}"
22,11.082743999548256,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
23,11.082752199843526,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10058mV', '-28uA', '0mV', '0uA'], ['10078mV', '14uA', '0mV', '0uA']]}"
24,12.089489199221134,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
25,12.089494999498129,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-9920mV', '-40uA', '0mV', '0uA'], ['9834mV', '26uA', '0mV', '0uA']]}"
26,13.09326159954071,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
27,13.093267299234867,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8784mV', '-162uA', '0mV', '0uA'], ['7794mV', '154uA', '0mV', '0uA']]}"
28,14.105861599557102,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
29,14.105869399383664,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10058mV', '-30uA', '0mV', '0uA'], ['10078mV', '16uA', '0mV', '0uA']]}"
30,15.112745899707079,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
31,15.112753399647772,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10058mV', '-36uA', '0mV', '0uA'], ['10078mV', '132uA', '0mV', '0uA']]}"
32,16.12086489982903,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
33,16.120872699655592,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10058mV', '-32uA', '0mV', '0uA'], ['10078mV', '62uA', '0mV', '0uA']]}"
34,17.128754399716854,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
35,17.128762199543417,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-10058mV', '-32uA', '0mV', '0uA'], ['10078mV', '18uA', '0mV', '0uA']]}"
36,18.135655399411917,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
37,18.135660799220204,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8412mV', '-220uA', '0mV', '0uA'], ['7058mV', '214uA', '0mV', '0uA']]}"
38,18.900730499997735,PauseEvent,0,,"{}"
39,216.16411489993334,ResumeEvent,0,,"{}"
40,19.381127499975264,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
41,19.381136999465525,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6974mV', '-292uA', '0mV', '0uA'], ['5196mV', '292uA', '0mV', '0uA']]}"
42,20.388987800106406,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
43,20.388993799686432,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-6988mV', '-292uA', '0mV', '0uA'], ['5206mV', '292uA', '0mV', '0uA']]}"
44,21.394207499921322,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
45,21.394213899970055,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7000mV', '-292uA', '0mV', '0uA'], ['5218mV', '292uA', '0mV', '0uA']]}"
46,22.1736020995304,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
47,22.173606799915433,StateExitEvent,0,INITIATION,"{'light_location': 0}"
48,22.1736196000129,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
49,22.331616000272334,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': False}"
50,22.404129199683666,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
51,22.404137100093067,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7014mV', '-292uA', '0mV', '0uA'], ['5234mV', '292uA', '0mV', '0uA']]}"
52,22.773814999498427,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': True}"
53,22.773819799534976,StateExitEvent,1,RESPONSE,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
54,22.773845999501646,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
55,23.087677599862218,ComponentChangedEvent,1,nose_pokes-2-0,"{'value': False}"
56,23.411922900006175,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
57,23.4119288995862,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7030mV', '-292uA', '0mV', '0uA'], ['5246mV', '292uA', '0mV', '0uA']]}"
58,24.42009379994124,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
59,24.420102099888027,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7034mV', '-292uA', '0mV', '0uA'], ['5248mV', '292uA', '0mV', '0uA']]}"
60,25.427018700167537,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
61,25.427026299759746,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7052mV', '-292uA', '0mV', '0uA'], ['5268mV', '292uA', '0mV', '0uA']]}"
62,26.42809810023755,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
63,26.428103299811482,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7064mV', '-292uA', '0mV', '0uA'], ['5278mV', '292uA', '0mV', '0uA']]}"
64,27.438089500181377,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
65,27.438096799887717,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7064mV', '-292uA', '0mV', '0uA'], ['5268mV', '292uA', '0mV', '0uA']]}"
66,28.44995990023017,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
67,28.44996610004455,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7082mV', '-292uA', '0mV', '0uA'], ['5288mV', '292uA', '0mV', '0uA']]}"
68,29.457953699864447,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
69,29.457959399558604,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7100mV', '-292uA', '0mV', '0uA'], ['5312mV', '292uA', '0mV', '0uA']]}"
70,29.788830599747598,TimeoutEvent,0,iti_timeout,"{}"
71,29.788889699615538,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
72,29.788908699527383,StateEnterEvent,0,INITIATION,"{}"
73,30.466241500340402,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
74,30.466254100203514,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7112mV', '-292uA', '0mV', '0uA'], ['5324mV', '292uA', '0mV', '0uA']]}"
75,30.613110600039363,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
76,30.61311940010637,StateExitEvent,0,INITIATION,"{'light_location': 0}"
77,30.61314420029521,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
78,30.722937299869955,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': False}"
79,31.028299099765718,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
80,31.02830890007317,StateExitEvent,1,RESPONSE,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
81,31.028350999578834,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
82,31.329981899820268,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
83,31.345734300091863,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
84,31.357093799859285,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
85,31.47339960001409,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
86,31.473413299769163,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7124mV', '-292uA', '0mV', '0uA'], ['5336mV', '292uA', '0mV', '0uA']]}"
87,32.480495899915695,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
88,32.480512499809265,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7130mV', '-292uA', '0mV', '0uA'], ['5340mV', '292uA', '0mV', '0uA']]}"
89,33.488895299844444,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
90,33.488901199772954,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7140mV', '-292uA', '0mV', '0uA'], ['5350mV', '292uA', '0mV', '0uA']]}"
91,34.495779800228775,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
92,34.4957857998088,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7144mV', '-292uA', '0mV', '0uA'], ['5346mV', '292uA', '0mV', '0uA']]}"
93,35.49996639974415,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
94,35.49997179955244,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7136mV', '-292uA', '0mV', '0uA'], ['5316mV', '292uA', '0mV', '0uA']]}"
95,36.51199380028993,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
96,36.51200169976801,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7168mV', '-292uA', '0mV', '0uA'], ['5376mV', '292uA', '0mV', '0uA']]}"
97,37.5190139003098,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
98,37.519022200256586,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-7176mV', '-292uA', '0mV', '0uA'], ['5382mV', '292uA', '0mV', '0uA']]}"
