Subject,FORT17
Task,SetShiftPR
Chamber,2
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p45on2_all.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShift2On.py
SubjectConfiguration
amps,"[[0, 0], [-279, 279]]"

Trial,Time,Type,Code,State,Metadata
1,1.6500242054462433e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.0063704000785947,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
3,1.0063776997849345,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 1, 'mode': [3, 1], 'period': 7692, 'duration': 4294967295, 'stages': [['50', '0uA', '-279uA'], ['50', '0uA', '279uA']]}"
4,2.013360700570047,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
5,2.0133682005107403,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8184mV', '-272uA'], ['0mV', '0uA', '6254mV', '270uA']]}"
6,2.062756000086665,ComponentChangedEvent,3,nose_pokes-1-2,"{'value': True}"
7,2.166534500196576,ComponentChangedEvent,3,nose_pokes-1-2,"{'value': False}"
8,3.021302199922502,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
9,3.0213077003136277,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8278mV', '-272uA'], ['0mV', '0uA', '6380mV', '270uA']]}"
10,4.029264200478792,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
11,4.029269499704242,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8372mV', '-272uA'], ['0mV', '0uA', '6466mV', '270uA']]}"
12,4.22551119979471,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': True}"
13,4.22551660053432,StateExitEvent,0,INITIATION,"{'light_location': 1}"
14,4.225530399940908,StateEnterEvent,1,RESPONSE,"{'light_location': 1}"
15,4.272781699895859,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': False}"
16,4.764819700270891,ComponentChangedEvent,3,nose_pokes-1-2,"{'value': True}"
17,4.764823700301349,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
18,4.764840200543404,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
19,5.026147499680519,ComponentChangedEvent,3,nose_pokes-1-2,"{'value': False}"
20,5.0362515999004245,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
21,5.036257999949157,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8458mV', '-272uA'], ['0mV', '0uA', '6544mV', '270uA']]}"
22,6.038151600398123,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
23,6.038159299641848,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8526mV', '-272uA'], ['0mV', '0uA', '6608mV', '270uA']]}"
24,7.05225730035454,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
25,7.052264000289142,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8584mV', '-272uA'], ['0mV', '0uA', '6660mV', '270uA']]}"
26,8.059349000453949,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
27,8.059354400262237,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8638mV', '-272uA'], ['0mV', '0uA', '6714mV', '270uA']]}"
28,9.067238200455904,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
29,9.067243199795485,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8692mV', '-272uA'], ['0mV', '0uA', '6754mV', '270uA']]}"
30,10.070638599805534,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
31,10.070648799650371,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8734mV', '-272uA'], ['0mV', '0uA', '6786mV', '270uA']]}"
32,11.082327200099826,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
33,11.082334499806166,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8770mV', '-272uA'], ['0mV', '0uA', '6816mV', '270uA']]}"
34,11.782430499792099,TimeoutEvent,0,iti_timeout,"{}"
35,11.782464999705553,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
36,11.78247379977256,StateEnterEvent,0,INITIATION,"{}"
37,12.090328400023282,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
38,12.090335600078106,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8810mV', '-272uA'], ['0mV', '0uA', '6852mV', '270uA']]}"
39,13.097261600196362,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
40,13.097266499884427,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8852mV', '-272uA'], ['0mV', '0uA', '6892mV', '270uA']]}"
41,13.840043400414288,ComponentChangedEvent,1,nose_pokes-1-0,"{'value': True}"
42,13.87987169995904,ComponentChangedEvent,1,nose_pokes-1-0,"{'value': False}"
43,14.105325199663639,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
44,14.105332599952817,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-8886mV', '-272uA'], ['0mV', '0uA', '6918mV', '270uA']]}"
45,14.492538100108504,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': True}"
46,14.49254299979657,StateExitEvent,0,INITIATION,"{'light_location': 0}"
47,14.492555500008166,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
48,14.626338199712336,ComponentChangedEvent,2,nose_pokes-1-1,"{'value': False}"
49,15.11013379972428,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
