Subject,MORT16
Task,SetShiftPR
Chamber,1
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p48on_all.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShiftOn.py

Trial,Time,Type,Code,State,Metadata
1,2.059992402791977e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.0057302992790937,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
3,1.0057351998984814,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 7692, 'duration': 4294967295, 'stages': [['50', '-300uA', '0uA'], ['50', '300uA', '0uA']]}"
4,2.013442900031805,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
5,2.013448399491608,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8380mV', '-292uA', '0mV', '0uA'], ['6400mV', '292uA', '0mV', '0uA']]}"
6,3.021768999285996,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
7,3.021776099689305,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8450mV', '-292uA', '0mV', '0uA'], ['6542mV', '292uA', '0mV', '0uA']]}"
8,4.028682099655271,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
9,4.0286900997161865,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8544mV', '-292uA', '0mV', '0uA'], ['6640mV', '292uA', '0mV', '0uA']]}"
10,4.858994700014591,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
11,4.8590020993724465,StateExitEvent,0,INITIATION,"{'light_location': 0}"
12,4.859023299999535,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
13,5.036602099426091,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
14,5.036717199720442,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
15,5.036720399744809,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8628mV', '-292uA', '0mV', '0uA'], ['6722mV', '292uA', '0mV', '0uA']]}"
16,5.263337399810553,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
17,5.263342299498618,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
18,5.26337009947747,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
19,5.606566099449992,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
20,6.044612899422646,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
21,6.044618399813771,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8674mV', '-292uA', '0mV', '0uA'], ['6778mV', '292uA', '0mV', '0uA']]}"
22,6.134255799464881,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
23,6.388967599719763,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
24,6.907837700098753,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
25,7.047251000069082,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
26,7.049168899655342,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
27,7.049175699241459,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8730mV', '-292uA', '0mV', '0uA'], ['6830mV', '292uA', '0mV', '0uA']]}"
28,7.338933899998665,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
29,7.467841299250722,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
30,7.7630944000557065,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
31,7.871120499446988,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
32,8.05967849958688,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
33,8.059686799533665,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8778mV', '-292uA', '0mV', '0uA'], ['6878mV', '292uA', '0mV', '0uA']]}"
34,8.205846299417317,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
35,8.307637599296868,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
36,8.577894399873912,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
37,8.689772799611092,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
38,8.900630099698901,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
39,9.064624899998307,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
40,9.064630899578333,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8814mV', '-292uA', '0mV', '0uA'], ['6924mV', '292uA', '0mV', '0uA']]}"
41,9.154806499369442,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
42,9.884787700138986,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
43,10.003897099755704,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
44,10.074611200019717,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
45,10.074616599828005,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8848mV', '-292uA', '0mV', '0uA'], ['6966mV', '292uA', '0mV', '0uA']]}"
46,10.232743700034916,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
47,10.366925599984825,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
48,10.42956729978323,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
49,10.649746200069785,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
50,10.906346099451184,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
51,11.060036899521947,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
52,11.082747899927199,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
53,11.082755299285054,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8890mV', '-292uA', '0mV', '0uA'], ['7000mV', '292uA', '0mV', '0uA']]}"
54,11.26353389956057,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
55,11.458762699738145,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
56,11.74629779998213,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
57,11.919847399927676,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
58,12.090641799382865,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
59,12.090647299773991,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8914mV', '-292uA', '0mV', '0uA'], ['7032mV', '292uA', '0mV', '0uA']]}"
60,12.267177799716592,TimeoutEvent,0,iti_timeout,"{}"
61,12.267225499264896,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
62,12.267239899374545,StateEnterEvent,0,INITIATION,"{}"
63,12.320915499702096,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
64,12.320920299738646,StateExitEvent,0,INITIATION,"{'light_location': 0}"
65,12.320933300070465,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
66,12.458984499797225,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
67,12.636923300102353,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
68,12.636929700151086,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
69,12.636955299414694,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
70,12.835921299643815,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
71,13.096552799455822,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
72,13.096559999510646,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-8960mV', '-292uA', '0mV', '0uA'], ['7058mV', '292uA', '0mV', '0uA']]}"
73,14.105688099749386,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
