Subject,MORT13
Task,SetShiftPR
Chamber,1
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p48on_all.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShiftOn.py
SubjectConfiguration
amps,"[[-32, 32], [0, 0]]"

Trial,Time,Type,Code,State,Metadata
1,2.8400681912899017e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.0064340000972152,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
3,1.0064432006329298,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 7692, 'duration': 4294967295, 'stages': [['50', '-32uA', '0uA'], ['50', '32uA', '0uA']]}"
4,1.5535565000027418,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
5,1.6783511005342007,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
6,2.010737500153482,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
7,2.0107436003163457,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-1380mV', '-30uA', '0mV', '0uA'], ['386mV', '30uA', '0mV', '0uA']]}"
8,2.812985200434923,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
9,2.8129911003634334,StateExitEvent,0,INITIATION,"{'light_location': 0}"
10,2.8130057007074356,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
11,3.0201403005048633,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
12,3.0201465003192425,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-1378mV', '-30uA', '0mV', '0uA'], ['384mV', '30uA', '0mV', '0uA']]}"
13,3.0364682003855705,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
14,3.621527500450611,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
15,3.621534200385213,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
16,3.6215588999912143,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
17,4.029392200522125,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
18,4.029400100000203,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-1418mV', '-30uA', '0mV', '0uA'], ['402mV', '30uA', '0mV', '0uA']]}"
19,4.1961278999224305,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
20,5.031200800091028,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
21,5.031207600608468,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-1380mV', '-30uA', '0mV', '0uA'], ['408mV', '30uA', '0mV', '0uA']]}"
22,6.04427279997617,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
23,6.0442810002714396,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-1380mV', '-30uA', '0mV', '0uA'], ['384mV', '30uA', '0mV', '0uA']]}"
24,7.051157800480723,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
