Subject,FORT10
Task,SetShiftVP
Chamber,3
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftVP/Protocols/p45on.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftVP/AddressFiles/SetShift3On.py

Trial,Time,Type,Code,State,Metadata
1,1.680001150816679e-05,StateEnterEvent,0,INITIATION,"{}"
2,0.12147959996946156,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
3,0.15703450003638864,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
4,0.16857470001559705,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
5,1.005846899934113,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
6,1.0058549999957904,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 1], 'period': 7692, 'duration': 4294967295, 'stages': [['0', '0uA', '0uA'], ['0', '0uA', '0uA']]}"
7,2.0116598999593407,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
8,2.0116649999981746,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['0uA', '0uA'], ['0uA', '0uA']]}"
9,3.0208071999950334,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
10,3.020814699935727,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['0uA', '0uA'], ['0uA', '0uA']]}"
11,4.028793300036341,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
12,4.0288014999823645,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['0uA', '0uA'], ['0uA', '0uA']]}"
13,4.667326799943112,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': True}"
14,4.667330999975093,StateExitEvent,0,INITIATION,"{'light_location': 1}"
15,4.66734429995995,StateEnterEvent,1,RESPONSE,"{'light_location': 1}"
16,4.872761599952355,ComponentChangedEvent,2,nose_pokes-2-1,"{'value': False}"
17,5.036886399961077,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
18,5.036895000026561,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['0uA', '0uA'], ['0uA', '0uA']]}"
19,5.188278999994509,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': True}"
20,5.1882827000226825,StateExitEvent,1,RESPONSE,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
21,5.188297500018962,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 0, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
22,5.380751500022598,ComponentChangedEvent,3,nose_pokes-2-2,"{'value': False}"
23,6.04383300000336,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
24,6.043840399943292,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['0uA', '0uA'], ['0uA', '0uA']]}"
25,7.051810399978422,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
26,7.051818300038576,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['0uA', '0uA'], ['0uA', '0uA']]}"
27,8.057029000017792,ComponentChangedEvent,0,stim-2-0,"{'value': 'T0'}"
28,8.057033899938688,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['0uA', '0uA'], ['0uA', '0uA']]}"
