Subject,FORT09
Task,SetShiftVP
Chamber,2
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftVP/Protocols/p44on2.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftVP/AddressFiles/SetShift2On.py

Trial,Time,Type,Code,State,Metadata
1,1.910002902150154e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.006327300099656,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
3,1.0063355000456795,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 1, 'mode': [3, 1], 'period': 7692, 'duration': 4294967295, 'stages': [['0', '0uA', '0uA'], ['0', '0uA', '0uA']]}"
4,2.013344200095162,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
5,2.013354300055653,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-144mV', '0uA'], ['0mV', '0uA', '-128mV', '0uA']]}"
6,3.0201277000596747,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
7,3.0201358000049368,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-142mV', '0uA'], ['0mV', '0uA', '-126mV', '0uA']]}"
8,4.027182700112462,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
9,4.027187400031835,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-142mV', '0uA'], ['0mV', '0uA', '-126mV', '0uA']]}"
10,5.036288600065745,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
11,5.036298600025475,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-142mV', '0uA'], ['0mV', '0uA', '-124mV', '0uA']]}"
12,6.041828600107692,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
13,6.041836000047624,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-140mV', '0uA'], ['0mV', '0uA', '-124mV', '0uA']]}"
14,7.052211300004274,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
15,7.052218500059098,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-142mV', '0uA'], ['0mV', '0uA', '-124mV', '0uA']]}"
16,8.059318000101484,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
17,8.059324700036086,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-142mV', '0uA'], ['0mV', '0uA', '-138mV', '0uA']]}"
18,9.067141800071113,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
19,9.067149400012568,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-142mV', '0uA'], ['0mV', '0uA', '-128mV', '0uA']]}"
20,10.071309500024654,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
21,10.07131470006425,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-144mV', '0uA'], ['0mV', '0uA', '-162mV', '0uA']]}"
22,11.079233200056478,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
23,11.07924260001164,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-142mV', '0uA'], ['0mV', '0uA', '-142mV', '0uA']]}"
24,12.09020810003858,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
25,12.09021560009569,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-142mV', '0uA'], ['0mV', '0uA', '-140mV', '0uA']]}"
26,13.09820640005637,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
27,13.098214100115001,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-142mV', '0uA'], ['0mV', '0uA', '-132mV', '0uA']]}"
28,14.105200000107288,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
29,14.105207800050266,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-142mV', '0uA'], ['0mV', '0uA', '-128mV', '0uA']]}"
30,15.113264000043273,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
31,15.113271900103427,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-142mV', '0uA'], ['0mV', '0uA', '-126mV', '0uA']]}"
32,16.12129120004829,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
33,16.12129880010616,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-142mV', '0uA'], ['0mV', '0uA', '-130mV', '0uA']]}"
34,17.128221100079827,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
35,17.128228400018997,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-150mV', '0uA'], ['0mV', '0uA', '-246mV', '0uA']]}"
36,18.130001200013794,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
37,18.130006900057197,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-152mV', '0uA'], ['0mV', '0uA', '-260mV', '0uA']]}"
38,19.1442226000363,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
39,19.144229700090364,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 1, 'n_pulse': 131, 'stages': [['0mV', '0uA', '-150mV', '0uA'], ['0mV', '0uA', '-266mV', '0uA']]}"
40,20.151182200061157,ComponentChangedEvent,0,stim-1-0,"{'value': 'U1'}"
