Subject,MORT09
Task,SetShiftVP
Chamber,1
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftVP/Protocols/p44on.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftVP/AddressFiles/SetShiftOn.py

Trial,Time,Type,Code,State,Metadata
1,3.660004585981369e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.006327899172902,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
3,1.006335699930787,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 7692, 'duration': 4294967295, 'stages': [['0', '0uA', '0uA'], ['0', '0uA', '0uA']]}"
4,1.1782722994685173,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
5,1.1782815996557474,StateExitEvent,0,INITIATION,"{'light_location': 0}"
6,1.1783060999587178,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
7,1.572125599719584,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
8,1.7945897998288274,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
9,1.7945975000038743,StateExitEvent,1,RESPONSE,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
10,1.7946405997499824,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
11,2.0136037999764085,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
12,2.013620199635625,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-180mV', '0uA', '0mV', '0uA'], ['-158mV', '0uA', '0mV', '0uA']]}"
13,2.2677461998537183,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
14,2.4813585998490453,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
15,2.663593399338424,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
16,2.959931599907577,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
17,3.0213936995714903,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
18,3.021402199752629,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-178mV', '0uA', '0mV', '0uA'], ['-158mV', '0uA', '0mV', '0uA']]}"
19,3.273177799768746,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
20,4.025311599485576,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
21,4.025319799780846,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-178mV', '0uA', '0mV', '0uA'], ['-158mV', '0uA', '0mV', '0uA']]}"
22,5.034438899718225,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
23,5.034459899179637,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-178mV', '0uA', '0mV', '0uA'], ['-158mV', '0uA', '0mV', '0uA']]}"
24,5.309085399843752,TimeoutEvent,0,stim_change,"{}"
25,5.309309699572623,InfoEvent,0,STIM_CHANGE,"{'type': '1'}"
26,6.321411699987948,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
27,6.321419199928641,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-178mV', '0uA', '0mV', '0uA'], ['-158mV', '0uA', '0mV', '0uA']]}"
28,6.32142429985106,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 7692, 'duration': 4294967295, 'stages': [['50', '-100uA', '0uA'], ['50', '100uA', '0uA']]}"
29,7.330286500044167,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
30,7.330315199680626,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 167, 'stages': [['-3024mV', '-64uA', '0mV', '0uA'], ['1560mV', '62uA', '0mV', '0uA']]}"
31,8.336644399911165,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
32,8.336662599816918,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-4622mV', '-96uA', '0mV', '0uA'], ['2710mV', '96uA', '0mV', '0uA']]}"
33,8.815997699275613,TimeoutEvent,0,iti_timeout,"{}"
34,8.816050799563527,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
35,8.81606929935515,StateEnterEvent,0,INITIATION,"{}"
36,9.344323699362576,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
37,9.344332399778068,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-4612mV', '-96uA', '0mV', '0uA'], ['2710mV', '96uA', '0mV', '0uA']]}"
38,10.350526299327612,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
39,10.350534100085497,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-4610mV', '-96uA', '0mV', '0uA'], ['2710mV', '96uA', '0mV', '0uA']]}"
40,11.355479899793863,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
41,11.355485199950635,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-4586mV', '-96uA', '0mV', '0uA'], ['2674mV', '96uA', '0mV', '0uA']]}"
42,12.367327299900353,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
43,12.367335399612784,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-4610mV', '-96uA', '0mV', '0uA'], ['2714mV', '96uA', '0mV', '0uA']]}"
44,13.375341599807143,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
45,13.37534979917109,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-4610mV', '-96uA', '0mV', '0uA'], ['2714mV', '96uA', '0mV', '0uA']]}"
46,13.601193499751389,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
47,13.601198500022292,StateExitEvent,0,INITIATION,"{'light_location': 0}"
48,13.601212400011718,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
49,13.916108799166977,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
50,14.177477199584246,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
51,14.177481999620795,StateExitEvent,1,RESPONSE,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
52,14.177508799359202,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
53,14.382354399189353,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
54,14.382367599755526,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-4610mV', '-96uA', '0mV', '0uA'], ['2716mV', '96uA', '0mV', '0uA']]}"
55,14.880254799500108,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
56,15.38781279977411,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
57,15.38782009948045,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-4610mV', '-96uA', '0mV', '0uA'], ['2712mV', '96uA', '0mV', '0uA']]}"
58,15.893974099308252,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
59,16.099970599636436,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
60,16.39451659936458,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
61,16.39455289952457,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-4612mV', '-96uA', '0mV', '0uA'], ['2714mV', '96uA', '0mV', '0uA']]}"
62,16.413931199349463,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
63,16.733641799539328,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
64,17.40551399998367,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
65,17.405527399852872,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-4608mV', '-96uA', '0mV', '0uA'], ['2710mV', '96uA', '0mV', '0uA']]}"
66,17.687053999863565,TimeoutEvent,0,stim_change,"{}"
67,17.687648499384522,InfoEvent,0,STIM_CHANGE,"{'type': 'B'}"
68,18.41655879933387,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
69,18.416565000079572,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-4614mV', '-96uA', '0mV', '0uA'], ['2716mV', '96uA', '0mV', '0uA']]}"
70,19.63338639959693,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
71,19.633394099771976,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 92, 'stages': [['-6548mV', '-164uA', '0mV', '0uA'], ['4512mV', '164uA', '0mV', '0uA']]}"
72,19.633399799466133,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 50000, 'duration': 4294967295, 'stages': [['50', '-300uA', '0uA'], ['50', '300uA', '0uA']]}"
73,20.64704279974103,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
74,20.64705719985068,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 22, 'stages': [['-9972mV', '-294uA', '0mV', '0uA'], ['8046mV', '294uA', '0mV', '0uA']]}"
75,21.191998499445617,TimeoutEvent,0,iti_timeout,"{}"
76,21.192028699442744,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
77,21.19203779939562,StateEnterEvent,0,INITIATION,"{}"
78,21.694475200027227,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
79,21.69448269996792,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 21, 'stages': [['-10446mV', '-280uA', '0mV', '0uA'], ['8402mV', '280uA', '0mV', '0uA']]}"
80,21.77156429924071,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
81,21.77157779969275,StateExitEvent,0,INITIATION,"{'light_location': 0}"
82,21.77161609940231,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
83,22.063304799608886,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
84,22.382178399711847,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
85,22.38218759931624,StateExitEvent,1,RESPONSE,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
86,22.382238599471748,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
87,22.74182069953531,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
88,22.741879399865866,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 21, 'stages': [['-10446mV', '-280uA', '0mV', '0uA'], ['8536mV', '280uA', '0mV', '0uA']]}"
89,22.903844899497926,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
90,23.798401199281216,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
91,23.798410499468446,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 21, 'stages': [['-10446mV', '-280uA', '0mV', '0uA'], ['8560mV', '280uA', '0mV', '0uA']]}"
92,23.913804799318314,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
93,24.324679899960756,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
94,24.652780999429524,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
95,24.76340079959482,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
